孔号,经距X,纬距Y,孔口高程,总孔深,终孔层位,施工时间,施工单位,类别,备注
ZK2501,4372815.462,37615238.917,1341.25,286.40,Ct3,2025-03-12,地勘一队,2025补勘,全孔取芯
ZK2502,4373640.118,37616105.334,1358.72,301.15,Ct3,2025-03-18,地勘一队,2025补勘,
ZK2503,4374472.905,37616972.560,1402.38,268.90,Cb,2025-03-25,地勘一队,2025补勘,见煤 3 层
ZK2504,4375301.377,37617840.121,1447.16,215.60,Cb,2025-04-02,地勘二队,2025补勘,
ZK2505,4376128.640,37618705.483,1421.03,233.75,O,2025-04-09,地勘二队,2025补勘,终孔见奥灰
ZK2506,4376955.212,37619571.906,1372.49,258.30,O,2025-04-16,地勘二队,2025补勘,
ZK2507,4371410.733,37617260.845,1312.87,244.20,Ct3,2025-04-23,地勘一队,2025补勘,"孔口有积水,坐标已复测"
ZK2508,4372236.089,37618128.377,1327.54,279.65,Ct3,2025-05-06,地勘一队,2025补勘,
ZK2509,4373062.517,37618995.212,1349.91,292.10,Cb,2025-05-13,地勘一队,2025补勘,
ZK2510,4373889.844,37619862.659,1366.28,271.85,Cb,2025-05-20,地勘二队,2025补勘,斜孔，倾角 85°
SC-01,4374715.230,37620729.408,1338.60,120.00,,2025.6.3-6.9,矿山测量队,生产,验证孔
SC-02,4375540.917,37621596.150,1305.44,135.50,,2025.6.10-6.17,矿山测量队,生产,
H0701,4370822.556,37614388.204,1298.71,189.30,Ct3,2007.9,,2007核实,据 2007 年核实报告补录
H0702,4371649.302,37615255.741,1306.15,176.85,Ct3,2007.10,,2007核实,
ZK2511,4376782.061,37622463.897,,,,,,,
ZK2512,4370000.500,37613700.250,,,,,,,
